formation_start,formation_end,holding_start,holding_end,winner_return,loser_return,gross_return,turnover,transaction_cost,net_return,n_winners,n_losers,avg_winner_zscore,avg_loser_zscore,position_size,year
2020-07-02 22:00:00+00:00,2021-01-02 22:00:00+00:00,2021-01-02 22:00:00+00:00,2021-02-02 22:00:00+00:00,-0.0012590991601782655,0.003023553334687719,-0.004282652494865985,0.0,0.0,-0.004282652494865985,1,1,3.768664363191787,-2.092749142405254,1.0,2021
2020-08-02 22:00:00+00:00,2021-02-02 22:00:00+00:00,2021-02-02 22:00:00+00:00,2021-03-02 22:00:00+00:00,0.0035438944557587837,0.005720988888783934,-0.0021770944330251505,2.0,0.0002,-0.0023770944330251506,1,1,4.86801671518751,1.540994660909631,1.0,2021
2020-09-02 22:00:00+00:00,2021-03-02 22:00:00+00:00,2021-03-02 22:00:00+00:00,2021-04-02 22:00:00+00:00,0.007098514971848269,0.0014805304415812968,0.005617984530266972,1.0,0.0001,0.005517984530266972,1,1,5.180561295425833,-1.5099586018054658,1.0,2021
2020-10-02 22:00:00+00:00,2021-04-02 22:00:00+00:00,2021-04-02 22:00:00+00:00,2021-05-02 22:00:00+00:00,-0.0025613822197035952,0.0022894468415294413,-0.004850829061233037,1.0,0.0001,-0.004950829061233037,1,1,5.229594173046229,1.511862078016525,1.0,2021
2020-11-02 22:00:00+00:00,2021-05-02 22:00:00+00:00,2021-05-02 22:00:00+00:00,2021-06-02 22:00:00+00:00,0.008047846454561075,0.006131658228557292,0.0019161882260037835,1.0,0.0001,0.0018161882260037834,1,1,5.355164874860824,1.7866704758473053,1.0,2021
2021-02-02 22:00:00+00:00,2021-08-02 22:00:00+00:00,2021-08-02 22:00:00+00:00,2021-09-02 22:00:00+00:00,0.002934021684343105,-0.00054449891730692,0.003478520601650025,1.0,0.0001,0.0033785206016500252,1,1,2.6662079196776274,-2.4549217107356514,1.0,2021
2021-03-02 22:00:00+00:00,2021-09-02 22:00:00+00:00,2021-09-02 22:00:00+00:00,2021-10-02 22:00:00+00:00,-0.00553887243700703,0.0005686623351578276,-0.006107534772164858,2.0,0.0002,-0.006307534772164857,1,1,2.5153711573011828,-2.2643609085168475,1.0,2021
2021-04-02 22:00:00+00:00,2021-10-02 22:00:00+00:00,2021-10-02 22:00:00+00:00,2021-11-02 22:00:00+00:00,0.0063060180295427155,-0.0010643466322673536,0.007370364661810069,1.0,0.0001,0.007270364661810069,1,1,1.9579030937345077,-2.6952906481596832,1.0,2021
2021-05-02 22:00:00+00:00,2021-11-02 22:00:00+00:00,2021-11-02 22:00:00+00:00,2021-12-02 22:00:00+00:00,0.000799159898877128,0.0007024673150061975,9.669258387093056e-05,0.0,0.0,9.669258387093056e-05,1,1,2.4685379990143845,-2.8707850775423527,1.0,2021
2021-06-02 22:00:00+00:00,2021-12-02 22:00:00+00:00,2021-12-02 22:00:00+00:00,2022-01-02 22:00:00+00:00,0.0032177718789641466,0.00030144401248629764,0.002916327866477849,0.0,0.0,0.002916327866477849,1,1,2.823915415880325,-1.9798141117332808,1.0,2022
