formation_start,formation_end,holding_start,holding_end,winner_return,loser_return,momentum_return,n_winners,n_losers,position_size,year
2021-02-23 22:00:00+00:00,2021-08-23 22:00:00+00:00,2021-08-23 22:00:00+00:00,2021-11-23 22:00:00+00:00,-0.00010064246119391256,0.0004644414359800015,-0.000565083897173914,6,6,1.0,2021
2021-03-23 22:00:00+00:00,2021-09-23 22:00:00+00:00,2021-09-23 22:00:00+00:00,2021-12-23 22:00:00+00:00,0.001796085381207024,-0.0005901439271882192,0.0023862293083952435,6,6,1.0,2021
2021-04-23 22:00:00+00:00,2021-10-23 22:00:00+00:00,2021-10-23 22:00:00+00:00,2022-01-23 22:00:00+00:00,0.0011205596680160504,-0.0005148321633341527,0.001635391831350203,6,6,1.0,2022
2021-05-23 22:00:00+00:00,2021-11-23 22:00:00+00:00,2021-11-23 22:00:00+00:00,2022-02-23 22:00:00+00:00,-0.0030708870671533094,-0.001095853889322064,-0.0019750331778312456,6,6,1.0,2022
2021-06-23 22:00:00+00:00,2021-12-23 22:00:00+00:00,2021-12-23 22:00:00+00:00,2022-03-23 22:00:00+00:00,-0.001997513899945695,-0.002320870373746446,0.00032335647380075114,6,6,1.0,2022
2021-07-23 22:00:00+00:00,2022-01-23 22:00:00+00:00,2022-01-23 22:00:00+00:00,2022-04-23 22:00:00+00:00,-0.0015799120704333394,-0.0023718381638158747,0.0007919260933825353,6,6,1.0,2022
2021-08-23 22:00:00+00:00,2022-02-23 22:00:00+00:00,2022-02-23 22:00:00+00:00,2022-05-23 22:00:00+00:00,-0.0013689967804055608,-0.0013125033874816093,-5.649339292395153e-05,6,6,1.0,2022
2021-09-23 22:00:00+00:00,2022-03-23 22:00:00+00:00,2022-03-23 22:00:00+00:00,2022-06-23 22:00:00+00:00,6.927159578840798e-05,-0.0007256678280794848,0.0007949394238678928,6,6,1.0,2022
2021-10-23 22:00:00+00:00,2022-04-23 22:00:00+00:00,2022-04-23 22:00:00+00:00,2022-07-23 22:00:00+00:00,-0.0011594482283370541,-0.00030020709048073053,-0.0008592411378563235,6,6,1.0,2022
2021-11-23 22:00:00+00:00,2022-05-23 22:00:00+00:00,2022-05-23 22:00:00+00:00,2022-08-23 22:00:00+00:00,-0.0010271077611986028,0.0002795634954196525,-0.0013066712566182554,6,6,0.9401179229041461,2022
2021-12-23 22:00:00+00:00,2022-06-23 22:00:00+00:00,2022-06-23 22:00:00+00:00,2022-09-23 22:00:00+00:00,-0.00086380820549575,-0.00201060131763494,0.00114679311213919,6,6,0.823850296817466,2022
2022-01-23 22:00:00+00:00,2022-07-23 22:00:00+00:00,2022-07-23 22:00:00+00:00,2022-10-23 22:00:00+00:00,-0.0006653224481553791,-0.00044668150132889435,-0.00021864094682648476,6,6,1.0,2022
2022-02-23 22:00:00+00:00,2022-08-23 22:00:00+00:00,2022-08-23 22:00:00+00:00,2022-11-23 22:00:00+00:00,0.0005069111433787032,0.0009344158113184511,-0.0004275046679397479,6,6,1.0,2022
2022-03-23 22:00:00+00:00,2022-09-23 22:00:00+00:00,2022-09-23 22:00:00+00:00,2022-12-23 22:00:00+00:00,0.0012191584388201897,0.0020744196650479747,-0.0008552612262277849,6,6,1.0,2022
2022-04-23 22:00:00+00:00,2022-10-23 22:00:00+00:00,2022-10-23 22:00:00+00:00,2023-01-23 22:00:00+00:00,0.002025421753092264,0.003784680988937957,-0.0017592592358456932,6,6,0.8716800691632077,2023
2022-05-23 22:00:00+00:00,2022-11-23 22:00:00+00:00,2022-11-23 22:00:00+00:00,2023-02-23 22:00:00+00:00,0.001971538356613206,0.0021374363715815025,-0.0001658980149682964,6,6,1.0,2023
2022-06-23 22:00:00+00:00,2022-12-23 22:00:00+00:00,2022-12-23 22:00:00+00:00,2023-03-23 22:00:00+00:00,0.0026956671802117593,0.0010958974311303523,0.001599769749081407,6,6,1.0,2023
2022-07-23 22:00:00+00:00,2023-01-23 22:00:00+00:00,2023-01-23 22:00:00+00:00,2023-04-23 22:00:00+00:00,0.00012510390514527213,-6.179662563055037e-05,0.00018690053077582248,6,6,1.0,2023
2022-08-23 22:00:00+00:00,2023-02-23 22:00:00+00:00,2023-02-23 22:00:00+00:00,2023-05-23 22:00:00+00:00,-0.0011407538132131771,-0.001199280917372281,5.8527104159103926e-05,6,6,1.0,2023
2022-09-23 22:00:00+00:00,2023-03-23 22:00:00+00:00,2023-03-23 22:00:00+00:00,2023-06-23 22:00:00+00:00,0.0009270960394109826,0.0004503695030245419,0.0004767265363864407,6,6,1.0,2023
2022-10-23 22:00:00+00:00,2023-04-23 22:00:00+00:00,2023-04-23 22:00:00+00:00,2023-07-23 22:00:00+00:00,-0.00033253262700052146,0.0012970562704960565,-0.0016295888974965779,6,6,1.0,2023
2022-11-23 22:00:00+00:00,2023-05-23 22:00:00+00:00,2023-05-23 22:00:00+00:00,2023-08-23 22:00:00+00:00,0.00011901839016599732,-0.0008978577587344607,0.001016876148900458,6,6,1.0,2023
2022-12-23 22:00:00+00:00,2023-06-23 22:00:00+00:00,2023-06-23 22:00:00+00:00,2023-09-23 22:00:00+00:00,-0.0011843992419894817,0.0004682221589228296,-0.0016526214009123113,6,6,1.0,2023
2023-01-23 22:00:00+00:00,2023-07-23 22:00:00+00:00,2023-07-23 22:00:00+00:00,2023-10-23 22:00:00+00:00,-0.0014467971333775738,-0.002082721209428717,0.0006359240760511432,6,6,1.0,2023
2023-02-23 22:00:00+00:00,2023-08-23 22:00:00+00:00,2023-08-23 22:00:00+00:00,2023-11-23 22:00:00+00:00,0.0007264162291670187,-0.00022771941201604753,0.0009541356411830662,6,6,1.0,2023
2023-03-23 22:00:00+00:00,2023-09-23 22:00:00+00:00,2023-09-23 22:00:00+00:00,2023-12-23 22:00:00+00:00,0.0013787538943494956,0.0009299429387340315,0.00044881095561546415,6,6,1.0,2023
2023-04-23 22:00:00+00:00,2023-10-23 22:00:00+00:00,2023-10-23 22:00:00+00:00,2024-01-23 22:00:00+00:00,0.0013428487783485926,0.0012029372699333544,0.00013991150841523824,6,6,1.0,2024
2023-05-23 22:00:00+00:00,2023-11-23 22:00:00+00:00,2023-11-23 22:00:00+00:00,2024-02-23 22:00:00+00:00,0.0020562666800816062,0.0001978812834168358,0.0018583853966647704,6,6,1.0,2024
2023-06-23 22:00:00+00:00,2023-12-23 22:00:00+00:00,2023-12-23 22:00:00+00:00,2024-03-23 22:00:00+00:00,0.001857090536820609,-0.000448806514550246,0.002305897051370855,6,6,1.0,2024
2023-07-23 22:00:00+00:00,2024-01-23 22:00:00+00:00,2024-01-23 22:00:00+00:00,2024-04-23 22:00:00+00:00,0.001974384473194495,0.001012102847957093,0.0009622816252374019,6,6,1.0,2024
2023-08-23 22:00:00+00:00,2024-02-23 22:00:00+00:00,2024-02-23 22:00:00+00:00,2024-05-23 22:00:00+00:00,0.0004185886937729681,0.001135241740818195,-0.0007166530470452268,6,6,1.0,2024
2023-09-23 22:00:00+00:00,2024-03-23 22:00:00+00:00,2024-03-23 22:00:00+00:00,2024-06-23 22:00:00+00:00,-0.0005004976518450367,0.0014690012495992026,-0.001969498901444239,6,6,1.0,2024
2023-10-23 22:00:00+00:00,2024-04-23 22:00:00+00:00,2024-04-23 22:00:00+00:00,2024-07-23 22:00:00+00:00,0.00015582928417727756,-5.520297265180837e-06,0.0001613495814424584,6,6,1.0,2024
2023-11-23 22:00:00+00:00,2024-05-23 22:00:00+00:00,2024-05-23 22:00:00+00:00,2024-08-23 22:00:00+00:00,-0.0004340524162696531,-0.0007305166414711869,0.00029646422520153377,6,6,1.0,2024
2023-12-23 22:00:00+00:00,2024-06-23 22:00:00+00:00,2024-06-23 22:00:00+00:00,2024-09-23 22:00:00+00:00,0.0009425350002043868,-0.0006730372113423552,0.001615572211546742,6,6,1.0,2024
2024-01-23 22:00:00+00:00,2024-07-23 22:00:00+00:00,2024-07-23 22:00:00+00:00,2024-10-23 22:00:00+00:00,0.0007609871559344079,-0.0013488649246215254,0.002109852080555933,6,6,1.0,2024
2024-02-23 22:00:00+00:00,2024-08-23 22:00:00+00:00,2024-08-23 22:00:00+00:00,2024-11-23 22:00:00+00:00,0.0007741356102161287,-0.001991760250178411,0.0027658958603945395,6,6,1.0,2024
2024-03-23 22:00:00+00:00,2024-09-23 22:00:00+00:00,2024-09-23 22:00:00+00:00,2024-12-23 22:00:00+00:00,0.001022346945338604,0.0006246389463970531,0.00039770799894155086,6,6,1.0,2024
