Metric,Value
annual_return,0.0011448302128715493
annual_volatility,0.0045670579122059135
sharpe_ratio,0.2506712712820824
max_drawdown,-0.010667904657334581
calmar_ratio,0.10731537725962295
win_rate,0.6190476190476191
avg_position_size,0.9750973111766804
